Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
ECT,"Montessori World Education Institute (Aust) Inc.","Diploma of Early Childhood and Primary Education (Montessori)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"(with Bachelor of Education as entry requirement)"
Diploma,"Montessori World Education Institute (Aust) Inc.","Diploma of Education (Montessori Education)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Education (Montessori Education)'. "
Diploma,"Montessori World Education Institute (Aust) Inc.","Diploma of Education (Montessori Education) combined with the bridging module for the Diploma in Children's Services",,"Any date before 1 January 2012",National,Australia,"Also known as 'Diploma in Education (Montessori Education) combined with the bridging module for the Diploma in Children's Services'."
Diploma,"Montessori World Education Institute (Aust) Inc.","Diploma of Montessori Studies",,"Any date before 1 January 2017",National,Australia,
ECT,"Montessori World Education Institute (Aust) Inc.","Graduate Diploma of Education (Montessori)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Program must be completed in the Early Childhood 3-6 age grouping. With relevant Australian recognised Bachelor degree from a University as entry requirement. Also previously known as the 'Graduate Diploma in Education (Montessori)'."
Diploma,"Montessori World Education Institute (Aust) Inc.","Diploma of Education (Montessori)",DECPM014,"Any date before December 2021",National,Australia,"ACECQA assessed and approved this qualification on 10 November 2016. The parchment must show a focus on the 0-3/3-6 years age group for Montessori Curriculum. This qualification was previously known as the Diploma of Early Childhood and Primary Education (Montessori)."
ECT,"Montessori World Education Institute (Aust) Inc.","Graduate Diploma of Education (Montessori) with a focus on the 3-6 years age group",GDM015,"Any date if enrolled prior to November 2021",National,Australia,"ACECQA reassessed and reapproved this qualification on 10 November 2016."
Diploma,"Montessori World Education Institute (Aust) Inc.","Diploma of Education (Montessori)",DECPMO14,"Any date before January 2027",National,Australia,"ACECQA assessed and approved this qualification on 13 December 2021. The parchment must show a focus on the 0-3/3-6 years age group for Montessori Curriculum. This qualification was previously known as the Diploma of Early Childhood and Primary Education (Montessori)."
ECT,"Montessori World Education Institute (Aust) Inc.","Graduate Diploma of Education (Montessori)",GDM015,"Any date if enrolled prior to 1 April 2027",National,Australia,"ACECQA reassessed and reapproved this qualification on 6 March 2022. The parchment must show a focus on the 3-6 years age group for Montessori Curriculum."
"Certificate III","Mother's Touch (Pvt) Ltd","Foundation Certificate in Children's Services",,"Any date if enrolled prior to March 2024",National,"Sri Lanka","ACECQA assessed and approved this program 13 February 2019."
Diploma,"Mother's Touch (Pvt) Ltd","Diploma in Child Care Centre Management",MTDC601,"Any date before September 2028",National,"Sri Lanka","ACECQA assessed and approved this qualification on 9 August 2023. This qualification is also known as the Diploma in Childcare Management."
"Certificate III","Mother's Touch (Pvt) Ltd","Certificate for Child Caregiver",,"Any date if enrolled prior to August 2029",National,"Sri Lanka","ACECQA assessed and re approved this program 15 July 2024. This program was also known as the Foundation Certificate in Children's Services and Certificate in Children's Services."
"Certificate III","Mother's Touch Academy for Early Childhood Education","Diploma in Childcare Management",,"Any date before 1 January 2012",Queensland,"Sri Lanka","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Mother's Touch Academy for Early Childhood Education","Diploma in Early Childhood Development and Education",,"Any date before 1 January 2012",Queensland,"Sri Lanka","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Mount Gravatt College of Advanced Education","Diploma in Teaching (Preschool and Primary School)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Mount Gravatt Teachers' College","Diploma in Teaching (Preschool and Primary School)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Mount Nelson College of Advanced Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Mount Nelson College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Mukogawa Women's University","Associate of Arts degree in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Japan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Murdoch University","Bachelor of Early Childhood Education (0-8)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Murdoch University","Bachelor of Education (Early Childhood 0-8)",B1315,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Bachelor of Education (Kindergarten through Primary)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Murdoch University","Bachelor of Education (Primary Teaching)",B1081,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Certificate in Early Childhood Education",C1046,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Certificate in Early Childhood Education and Care",C1099,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Certificate in Education Studies",C1082,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Diploma in Early Childhood Education and Care",G1049,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Diploma in Education Studies (ECE)",G1026,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Diploma in Early Childhood Care and Education",G1066,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Graduate Certificate in Early Childhood Care and Education",C1122,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Murdoch University","Bachelor of Education in Early Childhood and Primary Teaching","B1269 / B1319 / B1383","Any date if enrolled prior to October 2021",National,Australia,"ACECQA assessed and approved this qualification on 28 October 2016."
ECT,"Murdoch University","Graduate Diploma in Education: Early Childhood Education and Care",G1077,"Any date if enrolled prior to December 2021",National,Australia,"ACECQA assessed and approved this qualification on 15 December 2016."
ECT,"Murdoch University","Bachelor of Education (Early Childhood and Primary Teaching)","B1383 / B1405","Any date if enrolled prior to February 2027",National,Australia,"ACECQA assessed and approved this qualification on 21 January 2022."
